id,city,country,latitude,longitude,temperature,feels_like,temp_min,temp_max,pressure,humidity,weather_main,weather_description,wind_speed,wind_direction,clouds,visibility,sunrise,sunset,recorded_at,created_at
2,Warsaw,PL,52.2298,21.0118,2.82,2.82,2.13,3.84,1022,89,Clouds,overcast clouds,1.03,0,100,7000,2025-12-15 07:39:00,2025-12-15 15:23:20,2025-12-15 23:07:26,2025-12-15 23:07:44.339621
3,Krakow,PL,50.0833,19.9167,-0.81,-0.81,-1.89,-0.34,1021,63,Fog,fog,1.03,300,40,150,2025-12-15 07:32:47,2025-12-15 15:38:19,2025-12-15 23:04:41,2025-12-15 23:07:45.410771
4,Wrocław,PL,51.1,17.0333,-0.09,-3.72,-1,0.58,1022,95,Mist,mist,3.13,127,1,5000,2025-12-15 07:49:11,2025-12-15 15:44:59,2025-12-15 23:03:49,2025-12-15 23:07:46.476707
5,Gdańsk,PL,54.3521,18.6464,3.39,-0.48,2.73,3.86,1018,97,Clouds,overcast clouds,4.63,230,100,6000,2025-12-15 08:00:22,2025-12-15 15:20:54,2025-12-15 23:03:38,2025-12-15 23:07:47.541691
6,Warsaw,PL,52.2298,21.0118,1.95,1.95,0.92,3.21,1022,89,Clouds,broken clouds,0.45,218,54,10000,2025-12-16 07:39:49,2025-12-16 15:23:27,2025-12-16 10:59:11,2025-12-16 11:03:58.784504
7,Krakow,PL,50.0833,19.9167,1.64,0.24,1.33,1.64,1021,90,Clouds,overcast clouds,1.42,73,98,10000,2025-12-16 07:33:33,2025-12-16 15:38:29,2025-12-16 11:00:47,2025-12-16 11:03:59.859237
8,Wrocław,PL,51.1,17.0333,0,-3.09,0,0,1020,93,Clear,clear sky,2.57,120,0,10000,2025-12-16 07:49:58,2025-12-16 15:45:08,2025-12-16 11:00:00,2025-12-16 11:04:00.928307
9,Gdańsk,PL,54.3521,18.6464,3.65,0.45,3.38,4.12,1019,93,Clouds,few clouds,3.6,190,20,8000,2025-12-16 08:01:13,2025-12-16 15:20:59,2025-12-16 11:00:03,2025-12-16 11:04:02.009252
10,Warsaw,PL,52.2298,21.0118,1.27,-2.05,0.38,2.58,1022,91,Clouds,overcast clouds,3.09,130,100,6000,2025-12-16 07:39:49,2025-12-16 15:23:27,2025-12-16 15:58:48,2025-12-16 16:00:09.427197
11,Krakow,PL,50.0833,19.9167,0.05,-1.76,-0.03,0.78,1020,96,Fog,fog,1.54,80,100,1100,2025-12-16 07:33:33,2025-12-16 15:38:29,2025-12-16 15:55:30,2025-12-16 16:00:10.530615
12,Wrocław,PL,51.1,17.0333,1.56,-1.24,1,2.24,1019,89,Clear,clear sky,2.57,120,0,10000,2025-12-16 07:49:58,2025-12-16 15:45:08,2025-12-16 15:58:06,2025-12-16 16:00:11.633887
13,Gdańsk,PL,54.3521,18.6464,2.38,-0.71,2.19,4.12,1019,96,Clear,clear sky,3.09,220,0,10000,2025-12-16 08:01:13,2025-12-16 15:20:59,2025-12-16 15:58:11,2025-12-16 16:00:12.748781
14,Warsaw,PL,52.2298,21.0118,2.37,-0.28,0.88,4.19,1018,86,Clouds,overcast clouds,2.57,130,100,9000,2025-12-17 07:40:34,2025-12-17 15:23:39,2025-12-17 10:04:02,2025-12-17 10:12:02.436511
15,Krakow,PL,50.0833,19.9167,3.97,2.1,2.75,3.97,1018,85,Clouds,overcast clouds,2.06,265,100,10000,2025-12-17 07:34:17,2025-12-17 15:38:42,2025-12-17 10:07:28,2025-12-17 10:12:03.546742
16,Wrocław,PL,51.1,17.0333,1.83,-0.93,1.16,2.79,1019,90,Clouds,broken clouds,2.58,216,74,10000,2025-12-17 07:50:43,2025-12-17 15:45:20,2025-12-17 10:09:01,2025-12-17 10:12:04.649248
17,Gdańsk,PL,54.3521,18.6464,0.88,-2.92,-0.16,1.08,1016,96,Clouds,overcast clouds,3.6,200,100,7000,2025-12-17 08:02:00,2025-12-17 15:21:08,2025-12-17 10:08:42,2025-12-17 10:12:05.756222
18,Warsaw,PL,52.2298,21.0118,6.1,3.07,4.32,7.73,1018,72,Clouds,broken clouds,4.26,214,77,10000,2025-12-17 07:40:34,2025-12-17 15:23:39,2025-12-17 14:03:09,2025-12-17 14:14:45.16647
19,Krakow,PL,50.0833,19.9167,2.91,1.51,2.11,5.22,1019,67,Mist,mist,1.54,300,93,4200,2025-12-17 07:34:17,2025-12-17 15:38:42,2025-12-17 14:14:46,2025-12-17 14:14:46.292529
20,Wrocław,PL,51.1,17.0333,4.52,3.35,3.38,5.55,1019,80,Clear,clear sky,1.54,210,0,10000,2025-12-17 07:50:43,2025-12-17 15:45:20,2025-12-17 14:14:47,2025-12-17 14:14:47.373788
21,Gdańsk,PL,54.3521,18.6464,1.64,-1.6,0.84,1.64,1015,94,Mist,mist,3.09,240,40,3100,2025-12-17 08:02:00,2025-12-17 15:21:08,2025-12-17 14:12:03,2025-12-17 14:14:48.458952
22,Warsaw,PL,52.2298,21.0118,3.51,1.04,2.62,4.41,1024,90,Clear,clear sky,2.61,174,6,10000,2025-12-19 07:41:55,2025-12-19 15:24:12,2025-12-19 11:35:03,2025-12-19 11:37:28.134746
23,Krakow,PL,50.0833,19.9167,4.53,4.53,-0.89,4.53,1024,97,Fog,fog,1.03,0,40,700,2025-12-19 07:35:36,2025-12-19 15:39:17,2025-12-19 11:32:56,2025-12-19 11:37:29.23444
24,Wrocław,PL,51.1,17.0333,6.5,3.94,5.58,7.79,1023,82,Clear,clear sky,3.58,142,0,10000,2025-12-19 07:52:03,2025-12-19 15:45:55,2025-12-19 11:35:01,2025-12-19 11:37:30.31263
25,Gdańsk,PL,54.3521,18.6464,6.16,2.72,6.16,6.84,1019,89,Clear,clear sky,5.14,220,0,10000,2025-12-19 08:03:24,2025-12-19 15:21:39,2025-12-19 11:33:42,2025-12-19 11:37:31.398211
26,Warsaw,PL,52.2298,21.0118,2.82,-1.19,1.88,4.24,1023,94,Fog,fog,4.63,140,100,650,2025-12-19 07:41:55,2025-12-19 15:24:12,2025-12-19 15:02:10,2025-12-19 15:05:51.114434
27,Krakow,PL,50.0833,19.9167,3.4,1.44,3.32,6.75,1024,49,Mist,mist,2.06,240,0,4800,2025-12-19 07:35:36,2025-12-19 15:39:17,2025-12-19 15:01:09,2025-12-19 15:05:52.215129
28,Wrocław,PL,51.1,17.0333,8.69,7.15,7.45,9,1022,78,Clear,clear sky,2.68,136,0,10000,2025-12-19 07:52:03,2025-12-19 15:45:55,2025-12-19 15:02:03,2025-12-19 15:05:53.297678
29,Gdańsk,PL,54.3521,18.6464,6.51,3.65,6.06,7.46,1018,83,Clear,clear sky,4.12,220,0,10000,2025-12-19 08:03:24,2025-12-19 15:21:39,2025-12-19 15:05:23,2025-12-19 15:05:54.369992
30,Warsaw,PL,52.2298,21.0118,1.68,-1.56,0.53,3.13,1022,96,Fog,fog,3.09,150,100,600,2025-12-19 07:41:55,2025-12-19 15:24:12,2025-12-19 22:10:22,2025-12-19 22:10:58.260898
31,Krakow,PL,50.0833,19.9167,2.24,2.24,2.11,3.42,1022,57,Fog,fog,1.03,0,100,100,2025-12-19 07:35:36,2025-12-19 15:39:17,2025-12-19 22:08:59,2025-12-19 22:10:59.353261
32,Wrocław,PL,51.1,17.0333,2.47,0.16,1,3.35,1022,95,Clear,clear sky,2.24,127,0,10000,2025-12-19 07:52:03,2025-12-19 15:45:55,2025-12-19 22:10:59,2025-12-19 22:11:00.434622
33,Gdańsk,PL,54.3521,18.6464,6.31,3.4,5.53,7.46,1017,92,Clouds,few clouds,4.12,220,20,10000,2025-12-19 08:03:24,2025-12-19 15:21:39,2025-12-19 22:10:24,2025-12-19 22:11:01.499433
34,Warsaw,PL,52.2298,21.0118,2.65,1.21,2.02,3.24,1021,86,Clouds,broken clouds,1.54,120,75,10000,2025-12-21 07:43:03,2025-12-21 15:24:59,2025-12-21 17:25:40,2025-12-21 17:30:24.748114
35,Krakow,PL,50.0833,19.9167,3.9,0.44,3.88,5.53,1018,59,Mist,mist,4.12,50,100,5000,2025-12-21 07:36:43,2025-12-21 15:40:06,2025-12-21 17:25:35,2025-12-21 17:30:25.855424
36,Wrocław,PL,51.1,17.0333,5.62,2.85,5.01,6.13,1019,94,Mist,mist,3.6,90,100,5000,2025-12-21 07:53:10,2025-12-21 15:46:43,2025-12-21 17:30:11,2025-12-21 17:30:26.936065
37,Gdańsk,PL,54.3521,18.6464,4.59,3.12,3.94,4.97,1021,84,Clouds,scattered clouds,1.79,250,42,10000,2025-12-21 08:04:33,2025-12-21 15:22:25,2025-12-21 17:26:14,2025-12-21 17:30:28.026853
38,Warsaw,PL,52.2298,21.0118,2.34,0.86,1.47,2.88,1022,82,Clouds,broken clouds,1.54,100,75,10000,2025-12-21 07:43:03,2025-12-21 15:24:59,2025-12-21 22:56:00,2025-12-21 23:00:06.8266
39,Krakow,PL,50.0833,19.9167,3.33,-0.27,3.11,3.97,1020,69,Mist,mist,4.12,70,100,2500,2025-12-21 07:36:43,2025-12-21 15:40:06,2025-12-21 22:55:55,2025-12-21 23:00:07.919783
40,Wrocław,PL,51.1,17.0333,5,1.79,4.34,5.58,1020,95,Mist,mist,4.12,80,100,4600,2025-12-21 07:53:10,2025-12-21 15:46:43,2025-12-21 23:00:03,2025-12-21 23:00:08.985645
41,Gdańsk,PL,54.3521,18.6464,4.57,3.1,3.84,4.95,1022,88,Clouds,broken clouds,1.79,270,75,10000,2025-12-21 08:04:33,2025-12-21 15:22:25,2025-12-21 22:57:00,2025-12-21 23:00:10.064483
42,Warsaw,PL,52.2298,21.0118,2.49,2.49,1.47,3.85,1023,82,Clouds,broken clouds,1.03,0,75,10000,2025-12-22 07:43:32,2025-12-22 15:25:28,2025-12-22 09:56:32,2025-12-22 10:00:18.115563
43,Krakow,PL,50.0833,19.9167,2.21,-2.49,2.11,2.31,1020,64,Mist,mist,5.66,60,100,2500,2025-12-22 07:37:12,2025-12-22 15:40:34,2025-12-22 09:55:30,2025-12-22 10:00:19.692102
44,Wrocław,PL,51.1,17.0333,4.05,0.34,3.79,4.46,1020,95,Mist,mist,4.63,100,100,3500,2025-12-22 07:53:39,2025-12-22 15:47:11,2025-12-22 09:59:57,2025-12-22 10:00:21.24478
45,Gdańsk,PL,54.3521,18.6464,5.02,5.02,4.84,5.05,1023,90,Clouds,overcast clouds,0.89,160,100,10000,2025-12-22 08:05:02,2025-12-22 15:22:53,2025-12-22 09:57:07,2025-12-22 10:00:22.794991
46,Warsaw,PL,52.2298,21.0118,2.86,-0.14,2.19,3.85,1022,78,Clouds,broken clouds,3.09,110,75,10000,2025-12-22 07:43:32,2025-12-22 15:25:28,2025-12-22 14:57:02,2025-12-22 15:00:04.135988
47,Krakow,PL,50.0833,19.9167,2.77,-1.52,2.31,4.41,1019,60,Mist,mist,5.14,60,100,5000,2025-12-22 07:37:12,2025-12-22 15:40:34,2025-12-22 14:56:50,2025-12-22 15:00:05.24623
48,Wrocław,PL,51.1,17.0333,4.19,-0.2,3.79,5,1019,92,Clouds,overcast clouds,6.17,100,100,6000,2025-12-22 07:53:39,2025-12-22 15:47:11,2025-12-22 14:59:07,2025-12-22 15:00:06.333269
49,Gdańsk,PL,54.3521,18.6464,4.99,3.3,4.24,5.23,1024,80,Clouds,broken clouds,2.06,150,75,10000,2025-12-22 08:05:02,2025-12-22 15:22:53,2025-12-22 14:56:09,2025-12-22 15:00:07.42202
50,Warsaw,PL,52.2298,21.0118,2.39,-1.42,1.64,3.29,1023,75,Clouds,broken clouds,4.12,100,75,10000,2025-12-22 07:43:32,2025-12-22 15:25:28,2025-12-22 21:53:44,2025-12-22 21:57:16.925932
51,Krakow,PL,50.0833,19.9167,2.2,-1.66,1.75,3.55,1019,75,Drizzle,light intensity drizzle,4.12,60,100,2300,2025-12-22 07:37:12,2025-12-22 15:40:34,2025-12-22 21:54:26,2025-12-22 21:57:18.03251
52,Wrocław,PL,51.1,17.0333,3.71,-0.59,3.23,4,1020,92,Clouds,overcast clouds,5.66,100,100,10000,2025-12-22 07:53:39,2025-12-22 15:47:11,2025-12-22 21:55:03,2025-12-22 21:57:19.122648
53,Gdańsk,PL,54.3521,18.6464,2.81,2.81,2.73,3.13,1024,92,Rain,light rain,0.51,30,75,10000,2025-12-22 08:05:02,2025-12-22 15:22:53,2025-12-22 21:57:10,2025-12-22 21:57:20.217547
54,Warsaw,PL,52.2298,21.0118,2.17,-1.35,1.47,3.29,1024,77,Clouds,broken clouds,3.6,70,75,10000,2025-12-23 07:43:58,2025-12-23 15:26:00,2025-12-23 09:59:54,2025-12-23 10:01:15.538535
55,Krakow,PL,50.0833,19.9167,0.75,-3.08,0.11,2.19,1020,75,Mist,mist,3.6,50,100,5000,2025-12-23 07:37:38,2025-12-23 15:41:06,2025-12-23 09:59:32,2025-12-23 10:01:16.653732
56,Wrocław,PL,51.1,17.0333,1.28,-3.39,1,1.69,1023,92,Clouds,broken clouds,5.14,60,75,9000,2025-12-23 07:54:05,2025-12-23 15:47:43,2025-12-23 09:58:10,2025-12-23 10:01:18.198538
57,Gdańsk,PL,54.3521,18.6464,3.66,0.83,2.57,3.86,1027,95,Clouds,broken clouds,3.09,60,75,10000,2025-12-23 08:05:28,2025-12-23 15:23:26,2025-12-23 09:59:09,2025-12-23 10:01:19.568681
58,Warsaw,PL,52.2298,21.0118,3,-0.67,2.1,3.85,1025,81,Clouds,broken clouds,4.12,50,75,10000,2025-12-23 07:43:58,2025-12-23 15:26:00,2025-12-23 14:57:13,2025-12-23 15:00:01.968237
59,Krakow,PL,50.0833,19.9167,0.26,-4.67,-0.01,1.64,1021,74,Drizzle,light intensity drizzle,5.14,50,100,2800,2025-12-23 07:37:38,2025-12-23 15:41:06,2025-12-23 14:55:36,2025-12-23 15:00:03.067911
60,Wrocław,PL,51.1,17.0333,2.18,-1.32,1.57,2.45,1024,81,Clouds,overcast clouds,3.58,85,100,10000,2025-12-23 07:54:05,2025-12-23 15:47:43,2025-12-23 14:55:18,2025-12-23 15:00:04.171763
61,Gdańsk,PL,54.3521,18.6464,2.18,-1.34,1.84,3.01,1029,86,Clouds,scattered clouds,3.6,70,40,10000,2025-12-23 08:05:28,2025-12-23 15:23:26,2025-12-23 14:57:34,2025-12-23 15:00:05.259022
62,Warsaw,PL,52.2298,21.0118,-4.62,-10.39,-5.81,-4.01,1036,63,Clear,clear sky,4.56,75,0,10000,2025-12-24 07:44:20,2025-12-24 15:26:35,2025-12-24 10:57:34,2025-12-24 11:00:08.412585
63,Krakow,PL,50.0833,19.9167,-1.41,-7.82,-1.68,-0.34,1031,60,Clouds,overcast clouds,7.2,60,100,10000,2025-12-24 07:38:00,2025-12-24 15:41:41,2025-12-24 10:59:14,2025-12-24 11:00:09.532397
64,Wrocław,PL,51.1,17.0333,-1.49,-6.55,-2.32,-0.55,1032,75,Clouds,overcast clouds,4.63,60,100,10000,2025-12-24 07:54:27,2025-12-24 15:48:19,2025-12-24 10:58:50,2025-12-24 11:00:10.634555
65,Gdańsk,PL,54.3521,18.6464,-2.54,-8.76,-3.16,-1.31,1039,67,Clouds,scattered clouds,6.17,120,40,10000,2025-12-24 08:05:49,2025-12-24 15:24:02,2025-12-24 10:56:01,2025-12-24 11:00:11.712025
66,Wrocław,PL,51.1,17.0333,-3.38,-8.9,-3.9,-2.76,1033,79,Clouds,broken clouds,4.63,60,75,10000,2025-12-24 07:54:27,2025-12-24 15:48:19,2025-12-24 14:46:24,2025-12-24 14:50:27.112204
67,Warsaw,PL,52.2298,21.0118,-5.63,-11.3,-6.31,-4.01,1037,69,Clear,clear sky,4.12,50,0,10000,2025-12-24 07:44:20,2025-12-24 15:26:35,2025-12-24 14:46:04,2025-12-24 14:50:55.495011
68,Krakow,PL,50.0833,19.9167,-3.2,-10.2,-3.8,-2,1030,59,Clouds,broken clouds,8.23,60,75,10000,2025-12-24 07:38:00,2025-12-24 15:41:41,2025-12-24 14:46:14,2025-12-24 14:50:56.561566
69,Wrocław,PL,51.1,17.0333,-3.38,-8.9,-3.9,-2.76,1033,79,Clouds,broken clouds,4.63,60,75,10000,2025-12-24 07:54:27,2025-12-24 15:48:19,2025-12-24 14:46:24,2025-12-24 14:50:57.639923
70,Gdańsk,PL,54.3521,18.6464,-3.05,-8.49,-3.94,-1.43,1039,69,Clouds,few clouds,4.63,80,20,10000,2025-12-24 08:05:49,2025-12-24 15:24:02,2025-12-24 14:50:04,2025-12-24 14:50:58.710963
71,Warsaw,PL,52.2298,21.0118,-8.63,-13.97,-9.32,-8.37,1040,83,Clear,clear sky,3.09,80,0,10000,2025-12-24 07:44:20,2025-12-24 15:26:35,2025-12-24 23:01:28,2025-12-24 23:02:03.580574
72,Krakow,PL,50.0833,19.9167,-5.56,-11.21,-5.89,-3.92,1035,47,Clouds,overcast clouds,4.12,50,100,10000,2025-12-24 07:38:00,2025-12-24 15:41:41,2025-12-24 22:59:18,2025-12-24 23:02:04.67504
73,Wrocław,PL,51.1,17.0333,-6.92,-11.91,-7.55,-6,1037,81,Clouds,broken clouds,3.09,70,75,10000,2025-12-24 07:54:27,2025-12-24 15:48:19,2025-12-24 22:58:06,2025-12-24 23:02:05.758445
74,Gdańsk,PL,54.3521,18.6464,-5.64,-8.26,-7.83,-5.03,1041,77,Clear,clear sky,1.54,120,0,10000,2025-12-24 08:05:49,2025-12-24 15:24:02,2025-12-24 22:58:24,2025-12-24 23:02:06.824538
79,Warsaw,PL,52.2298,21.0118,-3.52,-6.64,-5.2,-1.83,1038,60,Clear,clear sky,2.06,100,0,10000,2025-12-25 07:44:39,2025-12-25 15:27:14,2025-12-25 14:00:00,2025-12-25 14:00:45.395681
80,Krakow,PL,50.0833,19.9167,-4.34,-9.28,-4.92,-2.56,1034,66,Clouds,overcast clouds,3.6,60,100,10000,2025-12-25 07:38:20,2025-12-25 15:42:19,2025-12-25 14:00:00,2025-12-25 14:00:46.527036
81,Wrocław,PL,51.1,17.0333,-4.56,-9.07,-5,-4.21,1036,85,Clouds,overcast clouds,3.09,70,100,10000,2025-12-25 07:54:47,2025-12-25 15:48:57,2025-12-25 13:59:20,2025-12-25 14:00:47.596824
82,Gdańsk,PL,54.3521,18.6464,-2.78,-7.38,-3.28,-1.99,1037,69,Clear,clear sky,3.6,280,0,10000,2025-12-25 08:06:07,2025-12-25 15:24:42,2025-12-25 13:57:33,2025-12-25 14:00:48.678547
83,Warsaw,PL,52.2298,21.0118,-7.51,-13.14,-8.12,-5.81,1033,84,Clear,clear sky,3.6,260,0,10000,2025-12-25 07:44:39,2025-12-25 15:27:14,2025-12-25 22:57:34,2025-12-25 23:00:03.478683
84,Krakow,PL,50.0833,19.9167,-4.2,-7.43,-4.92,-3.11,1033,66,Clouds,overcast clouds,2.06,250,100,10000,2025-12-25 07:38:20,2025-12-25 15:42:19,2025-12-25 22:55:16,2025-12-25 23:00:04.555012
85,Wrocław,PL,51.1,17.0333,-3.94,-6.32,-4.99,-3.1,1035,86,Clouds,overcast clouds,1.54,140,100,10000,2025-12-25 07:54:47,2025-12-25 15:48:57,2025-12-25 22:56:20,2025-12-25 23:00:05.622136
86,Gdańsk,PL,54.3521,18.6464,0.03,-5.74,-0.59,0.84,1031,90,Clouds,broken clouds,6.69,280,75,10000,2025-12-25 08:06:07,2025-12-25 15:24:42,2025-12-25 23:00:02,2025-12-25 23:00:06.688192
87,Warsaw,PL,52.2298,21.0118,-3.24,-8.45,-4.05,-1.92,1028,80,Clouds,overcast clouds,4.25,288,100,10000,2025-12-26 07:44:54,2025-12-26 15:27:56,2025-12-26 09:55:30,2025-12-26 10:00:06.386369
88,Krakow,PL,50.0833,19.9167,-3.54,-9.1,-4.89,-2,1030,68,Clouds,broken clouds,4.63,260,75,8000,2025-12-26 07:38:37,2025-12-26 15:43:00,2025-12-26 09:58:25,2025-12-26 10:00:07.494401
89,Wrocław,PL,51.1,17.0333,-4.38,-8.85,-4.48,-3.99,1033,93,Mist,mist,3.09,280,100,5000,2025-12-26 07:55:03,2025-12-26 15:49:38,2025-12-26 09:59:01,2025-12-26 10:00:08.57395
90,Gdańsk,PL,54.3521,18.6464,4.39,0.76,3.69,4.68,1028,96,Clouds,overcast clouds,4.63,290,100,10000,2025-12-26 08:06:21,2025-12-26 15:25:26,2025-12-26 09:55:33,2025-12-26 10:00:09.673354
91,Warsaw,PL,52.2298,21.0118,-1.2,-6.19,-2.27,-0.03,1028,93,Mist,mist,4.63,280,100,3000,2025-12-26 07:44:54,2025-12-26 15:27:56,2025-12-26 16:57:14,2025-12-26 17:00:04.098443
92,Krakow,PL,50.0833,19.9167,-1.53,-5.86,-1.89,-0.34,1030,58,Clouds,broken clouds,3.6,240,75,7000,2025-12-26 07:38:37,2025-12-26 15:43:00,2025-12-26 16:55:31,2025-12-26 17:00:05.189458
93,Wrocław,PL,51.1,17.0333,-2.16,-6.62,-3,-0.88,1033,81,Clear,clear sky,3.6,280,0,10000,2025-12-26 07:55:03,2025-12-26 15:49:38,2025-12-26 16:55:41,2025-12-26 17:00:06.254447
94,Gdańsk,PL,54.3521,18.6464,5.38,2.56,4.8,5.79,1030,97,Clouds,overcast clouds,3.6,310,100,10000,2025-12-26 08:06:21,2025-12-26 15:25:26,2025-12-26 16:58:19,2025-12-26 17:00:07.334026
95,Warsaw,PL,52.2298,21.0118,0.06,-4.92,-0.74,1.55,1029,93,Mist,mist,5.14,270,100,3000,2025-12-26 07:44:54,2025-12-26 15:27:56,2025-12-26 21:50:00,2025-12-26 22:00:03.125513
96,Krakow,PL,50.0833,19.9167,-2.1,-6.55,-2.23,-0.89,1031,67,Mist,mist,3.6,250,100,4000,2025-12-26 07:38:37,2025-12-26 15:43:00,2025-12-26 21:55:10,2025-12-26 22:00:04.241243
97,Wrocław,PL,51.1,17.0333,-2.2,-6.23,-2.32,-2,1034,87,Clouds,overcast clouds,3.09,300,100,10000,2025-12-26 07:55:03,2025-12-26 15:49:38,2025-12-26 21:58:11,2025-12-26 22:00:05.318706
98,Gdańsk,PL,54.3521,18.6464,4.14,0.19,3.84,5.23,1030,98,Clouds,overcast clouds,5.14,300,100,10000,2025-12-26 08:06:21,2025-12-26 15:25:26,2025-12-26 21:55:57,2025-12-26 22:00:06.416352
99,Warsaw,PL,52.2298,21.0118,0.76,-4.32,-0.05,2.1,1023,95,Drizzle,light intensity drizzle,5.66,270,100,1000,2025-12-27 07:45:06,2025-12-27 15:28:42,2025-12-27 09:49:55,2025-12-27 10:00:11.304682
100,Krakow,PL,50.0833,19.9167,-1.61,-7.31,-1.89,-0.89,1027,70,Mist,mist,5.66,250,100,5000,2025-12-27 07:38:51,2025-12-27 15:43:43,2025-12-27 09:55:21,2025-12-27 10:00:12.429836
101,Wrocław,PL,51.1,17.0333,-2.03,-8.12,-2.26,-1.09,1030,91,Clouds,overcast clouds,6.17,280,100,10000,2025-12-27 07:55:16,2025-12-27 15:50:23,2025-12-27 09:56:55,2025-12-27 10:00:13.510476
102,Gdańsk,PL,54.3521,18.6464,4.09,-1.09,3.69,4.41,1020,95,Clouds,overcast clouds,8.23,260,100,10000,2025-12-27 08:06:30,2025-12-27 15:26:13,2025-12-27 09:59:01,2025-12-27 10:00:14.601765
103,Warsaw,PL,52.2298,21.0118,0.37,-5.93,-0.61,1.62,1012,95,Clouds,overcast clouds,8.23,280,100,10000,2025-12-27 07:45:06,2025-12-27 15:28:42,2025-12-27 19:05:33,2025-12-27 19:06:21.247773
104,Krakow,PL,50.0833,19.9167,-0.55,-6.48,-0.57,1.11,1019,56,Clouds,scattered clouds,6.69,270,40,10000,2025-12-27 07:38:51,2025-12-27 15:43:43,2025-12-27 19:02:12,2025-12-27 19:06:22.384984
105,Wrocław,PL,51.1,17.0333,-1.05,-7.98,-1.62,-0.1,1023,91,Clouds,overcast clouds,8.75,290,100,10000,2025-12-27 07:55:16,2025-12-27 15:50:23,2025-12-27 19:01:49,2025-12-27 19:06:23.470503
106,Gdańsk,PL,54.3521,18.6464,4.77,-0.36,3.69,5.23,1015,61,Clear,clear sky,8.75,330,0,10000,2025-12-27 08:06:30,2025-12-27 15:26:13,2025-12-27 19:04:17,2025-12-27 19:06:24.553599
111,Warsaw,PL,52.2298,21.0118,1.22,-4.21,0.51,2.17,1015,93,Clouds,broken clouds,6.69,280,75,10000,2025-12-28 07:45:15,2025-12-28 15:29:30,2025-12-27 23:56:34,2025-12-28 00:00:29.642567
112,Krakow,PL,50.0833,19.9167,-1.11,-6.68,-1.12,-0.03,1021,53,Snow,light snow,5.66,250,75,7000,2025-12-28 07:39:01,2025-12-28 15:44:30,2025-12-27 23:58:10,2025-12-28 00:00:30.712083
113,Wrocław,PL,51.1,17.0333,1.23,-4.62,1,2.12,1024,94,Clouds,overcast clouds,7.72,290,100,10000,2025-12-28 07:55:25,2025-12-28 15:51:10,2025-12-27 23:55:44,2025-12-28 00:00:31.778413
114,Gdańsk,PL,54.3521,18.6464,4.51,-1.14,3.69,4.95,1018,61,Clouds,scattered clouds,10.29,340,40,10000,2025-12-28 08:06:37,2025-12-28 15:27:05,2025-12-27 23:58:46,2025-12-28 00:00:32.846577
115,Warsaw,PL,52.2298,21.0118,2.46,-3.21,1.58,3.28,1017,72,Clouds,broken clouds,8.23,290,75,10000,2025-12-28 07:45:15,2025-12-28 15:29:30,2025-12-28 09:58:08,2025-12-28 10:00:01.669397
116,Krakow,PL,50.0833,19.9167,0.27,-4.94,-0.01,1.33,1022,63,Clouds,broken clouds,5.66,270,75,10000,2025-12-28 07:39:01,2025-12-28 15:44:30,2025-12-28 09:57:14,2025-12-28 10:00:02.778547
117,Wrocław,PL,51.1,17.0333,-0.01,-5.55,-0.51,0.23,1027,84,Clouds,broken clouds,6.17,300,75,10000,2025-12-28 07:55:25,2025-12-28 15:51:10,2025-12-28 09:55:08,2025-12-28 10:00:03.893419
118,Gdańsk,PL,54.3521,18.6464,3.62,-1.32,2.58,3.86,1021,66,Clouds,scattered clouds,7.15,340,40,10000,2025-12-28 08:06:37,2025-12-28 15:27:05,2025-12-28 09:57:38,2025-12-28 10:00:04.960638
